IMAGE_LINKS, NAMES, DESCRIPTION, WIKI-LINK
https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY209_CR1160140209_AL_.jpg ,  Ashish Vidyarthi , Ashish Vidyarthi was born on June 19 1962 in Tellicherry Kerala India. He is an actor known for 24 (2013) Haider (2014) and Pokiri (2006) , https://en.m.wikipedia.org/wiki/Ashish_Vidyarthi
https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY209_CR30140209_AL_.jpg ,  Anupam Kher , Anupam Kher was born on March 7 1955 in Shimla Himachal Pradesh India. He is an actor and producer known for Silver Linings Playbook (2012) A Wednesday (2008) and M , https://en.m.wikipedia.org/wiki/Anupam_Kher
https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR00140209_AL_.jpg ,  Anil Kapoor , Living in a Chawl in Tilak Nagar Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother Boney a sister Reena and a younger brother Sanjay , https://en.m.wikipedia.org/wiki/Anil_Kapoor
https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR80140209_AL_.jpg ,  Amrish Puri , Believe it or not Amrish Puri wanted to become a Bollywood movie hero but failed a screen test in 1954. And what a failure it was , https://en.m.wikipedia.org/wiki/Amrish_Puri
https://m.media-amazon.com/images/M/MV5BZmNhMWQyOGYtYmZkMy00ZjdjLWE4N2QtYjc0NzEyZjViZWQzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR110140209_AL_.jpg ,  Amole Gupte , Amole Gupte is an Indian screenwriter actor and director known for his work on Bollywood films like Taare Zameen Par (Like Stars on Earth) Stanley ka dabba Kaminey and others. He is also an actor in Bheja Fry 2 (2011) stanley Ka Dabba (2011)Urumi (2011) Phas gaye re obama (2010) and Kaminey , https://en.m.wikipedia.org/wiki/Amole_Gupte
https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR620140209_AL_.jpg ,  Boman Irani , Boman Irani was born on December 2 1959 in Bombay State of Bombay India. He is an actor known for 3 Idiots (2009) Munna Bhai M , https://en.m.wikipedia.org/wiki/Boman_Irani
https://m.media-amazon.com/images/M/MV5BZDgwMGMzMWUtMmQ1Yi00NjM0LTlkMDgtMTk5MmFkMWJhNDY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR100140209_AL_.jpg ,  Balraj Sahni , Balraj Sahni was born on May 1 1913 in Rawalpindi Punjab British India. He was an actor known for Baazi (1951) Kabuliwala (1961) and Bhabhi (1957) , https://en.m.wikipedia.org/wiki/Balraj_Sahni
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png ,  Binnu Dhillon , Binnu Dhillon is an actor and producer known for Dev. D (2009) Vadhayiyaan Ji Vadhayiyaan (2018) and Chhevan Dariya (The Sixth River) (2010) , https://en.m.wikipedia.org/wiki/Binnu_Dhillon
https://m.media-amazon.com/images/M/MV5BODIwNGY2OGItN2I4Ny00Y2ExLWEzZmQtMTI0M2IxMWQxYTU5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR20140209_AL_.jpg ,  Bharat Bhushan , Bharat Bhushan was born on June 14 1920 in Meerut United Provinces of Agra and Oudh British India. He was an actor known for Gateway of India (1957) Mirza Ghalib (1954) and Shri Chaitanya Mahaprabhu (1954) , https://en.m.wikipedia.org/wiki/Bharat_Bhushan
https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR30140209_AL_.jpg ,  Chiranjeevi , This Telugu Star was a student at the Madras Film Institute and an amateur stage actor. His first public performance was in the Republic Day parade ballet of Andra Pradesh on 26 January 1976 , https://en.m.wikipedia.org/wiki/Chiranjeevi
https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_UX140_CR00140209_AL_.jpg ,  Chunky Pandey , Chunky Pandey was born in Bombay India on September 26 1962 in a non-film household. Chunky's real name is Suyash Sharad Pandey but is also known as Chandrakant Pandey , https://en.m.wikipedia.org/wiki/Chunky_Pandey
https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY209_CR110140209_AL_.jpg ,  Danny Denzongpa , Danny who married Gawa Denzongpa a Sikkimese princess and niece of the last chogyal from her hometown of Gangtok currently resides in Juhu in Mumbai. He likes to listen to Nepali folk music especially Nepali flutes , https://en.m.wikipedia.org/wiki/Danny_Denzongpa
https://m.media-amazon.com/images/M/MV5BMjYyYzViMmYtMjU4Yi00NGM3LWFjZTEtZmFkOGFmOTllY2I2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR40140209_AL_.jpg ,  Darsheel Safary , Born in the same city and on the same month as his family friend Aamir Khan Darsheel Safary (born March 9 1997 in Mumbai India) is an Indian child movie actor primarily working on starring in Hindi Bollywood films. He is best known for his acclaimed portrayal of a dyslexic child in the 2007 film , https://en.m.wikipedia.org/wiki/Darsheel_Safary
https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY209_CR340140209_AL_.jpg ,  Deepak Tijori , Deepak Tijori was born on August 28 1961 in Bombay Maharashtra India. He is an actor and director known for Fox (2009) Do Lafzon Ki Kahani (2016) and Tipsy (2020) , https://en.m.wikipedia.org/wiki/Deepak_Tijori
https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY209_CR870140209_AL_.jpg ,  Dharmendra , Dharmendra is one of the biggest stars of Indian cinema. Dharmendra Deol played the romantic hero in woman centric films from 1960-1968 and became romantic hero from 1968-69 and played the role of action hero from 1971-1997 , https://en.m.wikipedia.org/wiki/Dharmendra
https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR00140209_AL_.jpg ,  Deepika Padukone , Deepika Padukone born 5 January 1986 in Copenhagen Denmark is an Indian model & Actress. She is the daughter of former badminton Champion Prakash Padukone , https://en.m.wikipedia.org/wiki/Deepika_Padukone
https://m.media-amazon.com/images/M/MV5BNTc4MTE1NDU5MF5BMl5BanBnXkFtZTcwNDI2MTcxOA@@._V1_UY209_CR810140209_AL_.jpg ,  Dimple Kapadia , Born in a Gujerati-speaking family on June 8 1957 daughter to businessman Chunnibhai and Betty Dimple has a younger sister Simple who was born on 15 August 1958. She was discovered by Raj Kapoor who signed her up opposite his son Rishi in the 1973 hit 'Bobby' , https://en.m.wikipedia.org/wiki/Dimple_Kapadia
https://m.media-amazon.com/images/M/MV5BMTk5MDI0OTQzOF5BMl5BanBnXkFtZTcwMTgwMzEzMQ@@._V1_UY209_CR690140209_AL_.jpg ,  Dev Anand , After having played the Lead Actor for more than five decades in over 110 motion pictures Dev Anand continues to bestride Indian Cinema today. He has given a new dimension to that magical state known as Stardom , https://en.m.wikipedia.org/wiki/Dev_Anand
https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR00140209_AL_.jpg ,  Deepti Naval , Deepti Naval is an Indian film actor director writer painter and photographer. A multi-faceted personality her major contribution has been in the area of art cinema winning critical acclaim for her sensitive and close to life characters that emphasized the changing role of women in India , https://en.m.wikipedia.org/wiki/Deepti_Naval
https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY209_CR680140209_AL_.jpg ,  Dilip Kumar , Dilip Kumar is considered to be one of the greatest actors of Indian cinema. Starting his career in 1944 he has starred in some of the biggest commercially successful films in the period 1949-1961 , https://en.m.wikipedia.org/wiki/Dilip_Kumar
https://m.media-amazon.com/images/M/MV5BNzY3ODZmNDctZDA0ZC00NGNmLTgzZmItM2JhMTI4MzM3NTU2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR00140209_AL_.jpg ,  Farooq Shaikh , Farooq Sheikh was an Indian actor philanthropist and a television presenter. He was known for his work in Hindi films from 1977 to 1989 , https://en.m.wikipedia.org/wiki/Farooq_Shaikh
https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX140_CR00140209_AL_.jpg ,  Farhan Akhtar , An accomplished and award-winning producer-director-writer-actor-singer Farhan Akhtar is the ultimate Bollywood multi-hyphenate. Born in 1974 to prolific Indian film writer and poet Javed Akhtar and writer-director Honey Irani  Farhan was raised in an environment where creativity and , https://en.m.wikipedia.org/wiki/Farhan_Akhtar
https://m.media-amazon.com/images/M/MV5BN2NjODM2NDItYTU0Ni00MzJmLWJkZTYtMjQ3ZDZjZmNjY2NhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR80140209_AL_.jpg ,  Feroz Khan , Firoz was born in Bangalore on September 25 1939 to a Pathan father Sadiq and an Iranian mother Fatima. He has three brothers Abbas alias Sanjay Akbar and Sameer , https://en.m.wikipedia.org/wiki/Feroz_Khan
https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR00140209_AL_.jpg ,  Farida Jalal ," Farida Jalal was discovered by Filmfare's United Producers' Talent Hunt in the 1960s. She starred in her first movie as a teenager in the Rajshri Productions' ""TAQDEER' in 1967 ", https://en.m.wikipedia.org/wiki/Farida_Jalal
https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjEwN15BMl5BanBnXkFtZTgwODQ1NDQzNzE@._V1_UY209_CR690140209_AL_.jpg ,  Guru Dutt , Considered to be a man ahead of his time Guru Dutt was one of the greatest icons of commercial Indian cinema. Although he made less than fifty films they are believed to be the best to come from Bollywood's Golden Age known both for their ability to reach out to the common man and for their , https://en.m.wikipedia.org/wiki/Guru_Dutt
https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY209_CR140140209_AL_.jpg ,  Govinda , Govinda was born on December 21 1963. Govinda has acted in over 120 films since his debut in 1986 , https://en.m.wikipedia.org/wiki/Govinda
https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX140_CR00140209_AL_.jpg ,  Gulshan Grover , Gulshan Grover was born raised and educated in Delhi India. After receiving his master's degree in Commerce from Shri Ram College of Commerce he decided to pursue his passion and made a lifelong commitment to entertainment industry , https://en.m.wikipedia.org/wiki/Gulshan_Grover
https://m.media-amazon.com/images/M/MV5BODJhZWQ3NGEtZDFmYS00YTc3LTllMzctZGFlM2U0NjliYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR60140209_AL_.jpg ,  Gurpreet Ghuggi , Gurpreet Ghuggi was born as Gurpreet Singh. He is known for his work on Race (2008) Singh Is Kinng (2008) and Nalaik (2005) , https://en.m.wikipedia.org/wiki/Gurpreet_Ghuggi
https://m.media-amazon.com/images/M/MV5BMTkyNDk3MjEzN15BMl5BanBnXkFtZTYwOTQyODEz._V1_UY209_CR160140209_AL_.jpg ,  Girish Karnad , Girish Karnad was born on 19th May 1938 in Matheran Maharashtra. He is acclaimed for his contemporary playwrights in Kannada , https://en.m.wikipedia.org/wiki/Girish_Karnad
https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX140_CR00140209_AL_.jpg ,  Hrithik Roshan , Hrithik Roshan is an Indian actor born on 10th January 1974 well known globally for his versatile roles unmatchable dancing skills and attractive looks. After having appeared in films as a child actor in the 1980s Roshan made his film debut in a leading role in Kaho Naa , https://en.m.wikipedia.org/wiki/Hrithik_Roshan
https://m.media-amazon.com/images/M/MV5BMTEwMTkyMDY3OTheQTJeQWpwZ15BbWU4MDE1MjEyMzkx._V1_UX140_CR00140209_AL_.jpg ,  Huma Qureshi , Huma Qureshi born and raised in Delhi. Her father is a famous restaurant owner called Saleem's a chain of some 10 restaurants in Delhi , https://en.m.wikipedia.org/wiki/Huma_Qureshi
https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR100140209_AL_.jpg ,  Inaamulhaq , An alumnus of National School of Drama Inaamulhaq was born on Nov 14 1979 in Saharanpur-Uttar Pradesh. He first appeared on stage at the age of twelve , https://en.m.wikipedia.org/wiki/Inaamulhaq
https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY209_CR80140209_AL_.jpg ,  Irrfan Khan , Born Sahabzade Irfan Ali Khan in Jaipur Rajasthan (NW India) January 7 1967 to a Pashto speaking Muslim family. Khan's mother Begum Khan was from the Tonk Hakim family and his father Jagirdar Khan from the Khajuriya village near the Tonk district ran a tire business , https://en.m.wikipedia.org/wiki/Irrfan_Khan
https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR160140209_AL_.jpg ,  Jackie Shroff ," Jaikishen was born in the Gujarati-speaking Shroff family on February 1 1957. His dad's name is Kakubhai his brother's is Hemant and they live in Bandra Bombay in a bungalow named 'Le Pepeyon"" ", https://en.m.wikipedia.org/wiki/Jackie_Shroff
https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY209_CR860140209_AL_.jpg ,  Jimmy Sheirgill , Shergill was born in a Sikh family in Gorakhpur Uttar Pradesh. He moved to Punjab the place of his ancestors in 1985 where he studied in Yadavindra Public School Patiala and Bikram College Patiala , https://en.m.wikipedia.org/wiki/Jimmy_Sheirgill
https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR50140209_AL_.jpg ,  Jeetendra , Ravi Kapoor was born in a business family that dealt with imitation Jewelery and used to live in a chawl. While supplying jewelry to V , https://en.m.wikipedia.org/wiki/Jeetendra
https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY209_CR120140209_AL_.jpg ,  Jaspal Bhatti , Jaspal Bhatti the most popular social satirist in India graduated from Punjab Engineering College Chandigarh in North India as an electrical engineer. He was famous for his street plays like his My Nonsense Club during his college days , https://en.m.wikipedia.org/wiki/Jaspal_Bhatti
https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX140_CR00140209_AL_.jpg ,  Johnny Lever , Johnny Lever born in Andhra Pradesh and was brought up in Mumbai's King's Circle area (Dharavi). His mother tongue is Telugu , https://en.m.wikipedia.org/wiki/Johnny_Lever
https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR130140209_AL_.jpg ,  Kamal Haasan ," Kamal Haasan was born November 7 1954 in Paramakudi Tamil Nadu. He debuted as a child artiste in the film ""Kalathoor Kannamma"" (1960) which was released in the year 1960 ", https://en.m.wikipedia.org/wiki/Kamal_Haasan
https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY209_CR40140209_AL_.jpg ,  Kangana Ranaut , Kangana was born on 20 March 1987 in Bhambla near Manali which is in the Mandi district of Himachal Pradesh. Her dad's name is Amardeep who is a businessman and contractor her mom Asha is a school-teacher , https://en.m.wikipedia.org/wiki/Kangana_Ranaut
https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY209_CR30140209_AL_.jpg ,  Konkona Sen Sharma , Konkona Sen Sharma is an awarding winning actress and the daughter of the celebrated actress and director Aparna Sen. Konkona is regarded as one of the most respected actresses in Bollywood with her memorable performances right from Mr , https://en.m.wikipedia.org/wiki/Konkona_Sen_Sharma
https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR80140209_AL_.jpg ,  Kader Khan , Kader Khan was born on December 11 1937 in Pishin Balochistan British India. He was an actor and writer known for Taqdeerwala (1995) Naseeb (1981) and Angaar (1992) , https://en.m.wikipedia.org/wiki/Kader_Khan
https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY209_CR870140209_AL_.jpg ,  Kay Kay Menon , Kay Kay Menon was born on October 2 1966 in Kerala India as Krishna Kumar Menon. He is an actor known for Haider (2014) Black Friday (2004) and Gulaal (2009) , https://en.m.wikipedia.org/wiki/Kay_Kay_Menon
https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY209_CR40140209_AL_.jpg ,  Kajol , Kajol was born on August 5 1974 in Bombay Maharashtra India as Kajol Mukherjee. She is an actress known for Kuch Kuch Hota Hai (1998) My Name Is Khan (2010) and Fanaa (2006) , https://en.m.wikipedia.org/wiki/Kajol
https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY209_CR720140209_AL_.jpg ,  Kulbhushan Kharbanda , Kulbhushan Kharbanda was born on October 21 1944 in Hasan Abdal Punjab British India. He is an actor known for Lagaan: Once Upon a Time in India (2001) Haider (2014) and Hera Pheri (2000) , https://en.m.wikipedia.org/wiki/Kulbhushan_Kharbanda
https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX140_CR00140209_AL_.jpg ,  Kalki Koechlin , Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country , https://en.m.wikipedia.org/wiki/Kalki_Koechlin
https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY209_CR870140209_AL_.jpg ,  Kapil Sharma , Kapil Sharma is an Indian stand-up comedian TV anchor and singer. He was selected among top 100 celebrities in 2013 Forbes India magazines and he was ranked 96th in that list , https://en.m.wikipedia.org/wiki/Kapil_Sharma
https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY209_CR740140209_AL_.jpg ,  Karuna Bannerjee , Karuna Bannerjee was born on December 25 1919 in Calcutta Bengal Presidency British India. She was an actress known for Aparajito (1956) Pather Panchali (1955) and Mahakavi Kalidas (1942) , https://en.m.wikipedia.org/wiki/Karuna_Bannerjee
https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR40140209_AL_.jpg ,  Kanwaljit Singh , Kanwaljit Singh is an actor known for 15 Park Avenue (2005) Bang Bang (2014) and Saans (1999). He is married to Anuradha Patel , https://en.m.wikipedia.org/wiki/Kanwaljit_Singh
https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY209_CR880140209_AL_.jpg ,  Lara Dutta , It is not a secret that Lara Dutta is a beauty with brains. This was demonstrated when she scored the highest possible marks in the history of the Miss Universe Contest , https://en.m.wikipedia.org/wiki/Lara_Dutta
